NO,NAMA RUMAH,HARGA,Luas bangunan,Luas tanah,Kamar tidur,Kamar mandi,Kapasitas mobil dalam garasi
303,Rumah Dalam Komplek Di Gudang Peluru - Tebet Blok N348,5000000000,220,217,3,3,1
304,"Tebet, Siap Huni, jalan 2 mobil",4300000000,250,90,4,4,2
305,Rumah 2 Lantai Lokasi Strategis Akses 2 Mbl Asem Baris Tebet,3000000000,250,125,3,2,1
306,Rumah Lama Layak Huni Akses 2 Mbl Lapangan Ros Tebet Jaksel,3000000000,130,170,4,3,1
307,Rumah Baru Design Modern Posisi Hook Lokasi Tebet Timur,3400000000,170,110,4,4,2
308,rumah baru 2lantai siap huni akses jalan 1mobil lokasi tebet timur,3200000000,150,90,3,2,1
309,Rumah Siap Huni Akses 1mobil Lokasi Tebet Timur,3000000000,150,110,4,3,2
310,Rumah Baru Siap Huni Semi Furnish Akses 1mobil Lokasi Tebet Utara,3200000000,210,91,5,3,1
311,Dijual rumah baru Lokasi tbt timur,3300000000,150,90,3,2,1
312,"Rumah Siap Huni Di Tebet, Lingkungan Nyaman",5700000000,250,190,4,3,1
313,Rumah Siap Huni Di Kebon Baru Jaksel,2100000000,188,125,6,4,1
314,Di jual Rumah di tebet,4000000000,89,175,3,3,2
315,good house at jaksel tebet,2200000000,120,220,5,3,1
316,goood house at jakarta selatan tebet,8500000000,234,300,5,4,1
317,Jual Cepat Rumah Di Tebet,10500000000,350,247,5,5,3
318,Rumah Tebet Dekat Mall Kokas BU Harga Covid,1899000000,150,135,4,2,1
319,Rumah Tebet Barat Dalam Jakarta Selatan,9000000000,399,384,3,3,1
320,Dijual Termurah Rumah Siap Huni di Tebet Utara Jakarta Selatan,3500000000,180,100,5,4,1
321,TEBET MAS Rumah Nyaman Dalam Komplek Elit Dekat Taman JARANG ADA,13000000000,250,322,4,3,2
322,"Dijual Rumah di Tebet Utara, akses 2 mobil, Jakarta Selatan",7800000000,160,261,3,4,2
323,Dijual Rumah Tebet Barat Lokasi Premium Tenang Jalan Lebar,8000000000,200,202,5,3,3
324,Dijual Murah Rumah Mewah di Tebet Utara Jakarta Selatan,8000000000,450,306,5,4,1
325,Rumah Lama Layak Huni Tebet Jak Sel,2900000000,90,135,2,1,1
326,Rumah Siap Huni Baru Renovasi Di Tebet Utara Jak Sel,2500000000,105,54,3,2,1
327,Rumah Siap Huni Model Minimalis Di Tebet Jakarta Selatan,2600000000,180,95,4,2,1
328,TEBET - Bagus Untuk Investasi di Jalan 1 Mobil,2700000000,120,142,3,2,1
329,Rumah dijual di Tebet,5900000000,340,134,5,4,3
330,Rumah huk di Tebet jalan satu mobil lebar,3000000000,250,150,3,3,2
331,Rumah baru di Tebet Barat dekat jalan dua mobil,3500000000,160,118,4,4,2
332,Rumah di Tebet Barat bagus terawat dekat fasum,3200000000,128,138,3,2,1
333,"TEBET - Siap Huni, Bagus, Akses 2 Mobil",5300000000,200,145,3,3,2
334,"TEBET - Depan Taman, Baru, Jalan 2 Mobil",6500000000,220,150,3,3,1
335,Jual Cepat Rumah Di Casablanca Jakarta Selatan,6000000000,300,284,7,3,3
336,"Rumah Baru dijual di Tebet Barat, lokasi strategis",3500000000,200,135,3,3,2
337,"Dijual Rumah Di Jl. Kebon Baru Utara, Tebet Jakarta Selatan",2780000000,192,120,5,4,2
338,Rumah baru 100% bergaya mewah tebet Jakarta selatan,3800000000,160,165,4,3,1
339,Dijual Rumah Baru Dengan Design Minimalis Di Tebet,4500000000,175,125,3,3,2
340,"Dijual Rumah Brand New, Ada Taman, Lingkungan Tenang Di Tebet Barat",6500000000,350,230,4,4,2
341,Dijual Rumah Dalam Komplek Elit Tebet Mas Lokasi Paling Premium di Tebet,5500000000,300,140,3,3,2
342,"Dijual Rumah di Tebet Utara, akses 2 mobil",7800000000,160,261,3,4,2
343,TERJUAL Rumah Di Bukit Duri Area Komersil,3900000000,150,250,4,2,2
344,DIJUAL CEPAT HARGA MURAH ( BU CEPAT) Rumah 700 m2 Di TEBET,9200000000,450,700,8,4,4
345,Dijual rumah siap huni 2lantai full strategis dekat kokas akes jalan2mobil lokasi menteng dalam,2200000000,150,82,5,2,2
346,Rumah Siap Huni Hanya 50m Dari Dan Ke Asem Baris Raya Tebet,2100000000,100,126,2,2,1
347,Rumah Bagus Siap Huni Pinggir Jalan 2 Mbl Asem Baris Tebet,2150000000,120,135,3,2,1
348,"Dijual rumah di Asem baris, Akses jalan 2 mobil",2000000000,100,111,2,2,1
349,Rumah baru siap huni di tebet barat,4000000000,216,135,5,4,2
350,TEBET RAYA Rumah Layak Huni Dekan Stasiun,22000000000,350,448,6,7,2
351,Dijual Rumah Komplek Tebet Lokasi Premium Tenang Jalan Lebar,13000000000,216,384,3,3,2
352,TEBET RAYA Jalan Lebar Cocok Untuk Resto dan Kantor,15000000000,237,387,5,4,3
353,TEBET RAYA AREA KOMERSIL Rumah Siap Huni Bisa Dibangun 4 Lantai,22000000000,300,520,4,4,2
354,"3 Bedrooms House Tebet, Jakarta Selatan, DKI Jakarta",2200000000,120,100,3,2,1
355,Rumah Second Terawat Dan Setrategis Tebet Jakarta Selatan,23000000000,350,565,5,3,4
356,Rumah tebet dekat mall kokas,2700000000,135,87,3,2,2
357,Rumah Baru di Jln Tebet Timur Jakarta Selatan,4595000000,170,136,5,4,2
358,"Dijual Rumah 1,5 Lantai Di Tebet Dalam",21000000000,300,500,4,3,4
359,"Dijual Cepat Rumah Bagus di Tebet, Siap huni",3500000000,170,100,5,3,3
360,"Dijual Rumah Baru di Tebet, Elite",3900000000,179,142,5,4,2
361,"Dijual Brand New Rumah Tebet, Ada Swimming Pool",25000000000,700,619,5,4,10
362,"Dijual Rumah Baru di Tebet, Jalan 1 mobil Lebar, Jakarta Selatan",3900000000,179,142,5,4,2
363,"Dijual Rumah Elite di Tebet, Jakarta Selatan",1250000000,480,312,4,2,1
364,"Dijual Rumah Baru di Tebet, siap huni",3900000000,230,130,3,4,3
365,Dijual Rumah Cantik Tebet Lokasi Premium Nyaman Jalan Lebar,12000000000,240,303,6,6,4
366,Rumah Nyaman Jalan Lebar Strategis Di Kebon Baru Dekat Stasiun Tebet,5000000000,275,210,6,5,3
367,Rumah 2 Lantai Luas Murah Strategis Di Kebon Baru Dekat Stasiun Tebet,2300000000,150,132,4,3,1
368,Dijual Rumah Strategis Komplek Gudang Peluru Jakarta Selatan,9800000000,162,342,5,3,2
369,Rumah Murah Di Tebet Jaksel,6800000000,500,428,5,4,4
370,"Rumah 2 Lantai Di Tebet Barat, Blakang Perkantoran Mt Haryono",11000000000,600,391,7,5,4
371,"Rumah Di Pinggir Jalan Tebet Barat Raya, SHM, Investasi Bagus",11500000000,350,400,9,7,6
372,Dijual Cepat Rumah Tebet Barat Dalam Lokasi Strategis Jakarta Selatan,3600000000,130,163,3,2,2
373,"Rumah Tebet Bebas banjir, dekat pintu tol",22500000000,700,610,6,4,1
374,Rumah Mewah Dan Sangat Strategis Di Tebet,9500000000,340,240,7,4,2
375,"Tebet Mas, lokasi OK depan taman",13000000000,225,322,4,3,2
376,Rumah Di tebet Barat,3500000000,90,110,3,3,1
377,Rumah di tebet,3500000000,250,91,4,2,2
378,Rumah Murah Di Tebet Jakarta Selatan Baru ,3800000000,154,113,4,4,3
379,Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,2800000000,250,90,3,3,1
380,Dijual Rumah Mewah Terawat Di Daerah Tebet Hrg Menarik,13750000000,600,429,6,4,1
381,Rumah Baru Tebet,6200000000,220,150,4,4,2
382,"Dijual Rumah Asri, Tebet, Jakarta Selatan",4600000000,200,147,4,3,1
383,Rumah Lama di tebet berada di pusat kota jakarta selatan,12000000000,322,322,4,3,2
384,di jual rumah bagus tebet,2500000000,94,78,2,2,2
385,Rumah Lama Tebet Dijual Cepet Dengan Lokasi Strategis,2500000000,160,135,3,2,2
386,Rumah Besar Bangunan Kokoh Siap Huni Di Kebon Baru Tebet Jak Sel,9200000000,450,700,8,4,2
387,Dijual rumah hitung tanah di tebet dalam komplek jalan lebar,6500000000,217,217,3,2,2
388,"Rumah Di Tebet Timur, Jalan 1 Mobil, Dekat 2 mobil",4200000000,120,143,6,3,2
389,"Rumah Di Tebet Barat Dalam, Jalan 2 Mobil, Strategis",5500000000,200,221,5,2,2
390,"Tebet rumah minimalis modern akses 2 mobil, jakarta selatan",3500000000,190,100,6,4,2
391,Rumah Dijual di Tebet Jakarta Selatan,3500000000,350,100,4,4,2
392,Rumah murah dan strategis di tebet timur jakarta selatan,7500000000,150,288,5,3,1
393,Rumah dua lantai di Tebet Barat Dalam Jakarta Selatan,3500000000,235,140,5,4,2
394,"Rumah Siap Huni LT 170 M2 TERMURAH di Tebet Dalam, Jakarta Selatan",3500000000,210,170,6,2,2
